,pass_count,time_elapsed
READ UNCOMMITTED,0.0,1.0173003802299498
READ COMMITTED,500.0,1.0171971836090088
REPEATABLE READ,500.0,1.0172189083099366
SERIALIZABLE,500.0,1.0178335394859315
