,pass_count,time_elapsed
READ UNCOMMITTED,0.0,0.5871257214546204
READ COMMITTED,0.0,0.5891281418800354
REPEATABLE READ,0.0,0.5863382568359375
SERIALIZABLE,500.0,0.5827006063461304
