isolation_level,total_consistent,total_runtime
READ COMMITTED,3.0,4.598769823710124
READ UNCOMMITTED,1.0,4.573925018310547
REPEATABLE READ,3.0,4.582159042358398
SERIALIZABLE,2.0,0.526362419128418
