isolation_level,total_consistent,total_runtime
READ COMMITTED,4.0,0.05220875501632691
READ UNCOMMITTED,4.0,0.057502646446228024
REPEATABLE READ,4.0,0.049847922325134277
SERIALIZABLE,4.0,0.04954837083816528
